frame,face_id,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
1,0,0.000,0.98,1,-0.159,0.130,-0.023,0.174,0.059,1.20,0.00,2.03,2.24,0.00,1.01,0.00,0.00,0.00,0.17,0.57,0.67,0.96,0.69,0.00,0.01,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00
2,0,0.033,0.98,1,-0.151,0.143,-0.020,0.171,0.061,1.30,0.00,1.98,2.15,0.00,0.78,0.00,0.00,0.00,0.25,0.65,0.69,1.08,0.72,0.00,0.08,0.06,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00
3,0,0.067,0.98,1,-0.154,0.149,-0.019,0.170,0.062,1.32,0.00,1.97,2.05,0.00,0.69,0.00,0.00,0.00,0.30,0.71,0.75,1.20,0.73,0.00,0.13,0.11,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00
4,0,0.100,0.98,1,-0.149,0.151,-0.015,0.169,0.063,1.33,0.01,2.01,2.02,0.00,0.64,0.00,0.00,0.00,0.24,0.75,0.81,1.24,0.70,0.00,0.17,0.08,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00
5,0,0.133,0.98,1,-0.140,0.141,-0.018,0.170,0.062,1.29,0.03,2.07,2.09,0.00,0.71,0.00,0.00,0.00,0.26,0.75,0.84,1.33,0.68,0.00,0.19,0.09,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00
6,0,0.167,0.98,1,-0.134,0.141,-0.015,0.168,0.063,1.28,0.05,2.04,1.99,0.00,0.64,0.00,0.00,0.00,0.24,0.75,0.81,1.33,0.70,0.00,0.20,0.07,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00
7,0,0.200,0.98,1,-0.129,0.143,-0.014,0.168,0.064,1.26,0.10,1.98,1.92,0.00,0.54,0.00,0.00,0.00,0.23,0.73,0.80,1.35,0.75,0.00,0.12,0.08,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00
8,0,0.233,0.98,1,-0.124,0.146,-0.008,0.168,0.064,1.26,0.18,1.96,1.94,0.00,0.46,0.00,0.00,0.00,0.29,0.71,0.83,1.39,0.83,0.00,0.07,0.09,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00
9,0,0.267,0.98,1,-0.130,0.143,-0.007,0.167,0.065,1.29,0.23,2.02,2.10,0.00,0.39,0.00,0.00,0.00,0.33,0.67,0.83,1.49,0.84,0.00,0.00,0.10,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00
10,0,0.300,0.98,1,-0.131,0.143,-0.006,0.168,0.065,1.38,0.25,2.00,2.32,0.00,0.51,0.00,0.00,0.00,0.34,0.66,0.80,1.53,0.82,0.00,0.00,0.08,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00
11,0,0.333,0.98,1,-0.132,0.141,-0.003,0.168,0.064,1.45,0.21,1.97,2.35,0.00,0.55,0.00,0.00,0.00,0.19,0.66,0.78,1.43,0.77,0.00,0.00,0.10,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00
12,0,0.366,0.98,1,-0.132,0.142,-0.002,0.169,0.064,1.56,0.27,1.90,2.43,0.00,0.66,0.00,0.00,0.00,0.13,0.70,0.81,1.28,0.74,0.00,0.00,0.14,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00
13,0,0.400,0.98,1,-0.140,0.138,-0.001,0.170,0.063,1.55,0.29,1.94,2.32,0.00,0.55,0.00,0.00,0.00,0.10,0.71,0.85,1.15,0.77,0.00,0.01,0.21,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00
14,0,0.433,0.98,1,-0.128,0.141,-0.003,0.169,0.064,1.51,0.29,1.95,2.29,0.00,0.43,0.00,0.00,0.00,0.09,0.74,0.87,1.15,0.75,0.00,0.01,0.22,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00
15,0,0.466,0.98,1,-0.134,0.143,-0.000,0.170,0.063,1.50,0.21,1.94,2.28,0.00,0.37,0.00,0.00,0.00,0.08,0.77,0.92,1.17,0.78,0.00,0.01,0.21,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00
