frame,face_id,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
12,0,0.367,0.98,1,-0.144,0.142,0.011,0.116,0.042,1.30,0.00,1.92,1.48,0.00,1.53,0.17,0.00,0.00,0.00,1.05,0.08,2.47,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
13,0,0.400,0.98,1,-0.142,0.146,0.012,0.116,0.042,1.26,0.00,1.94,1.45,0.00,1.49,0.17,0.00,0.00,0.00,1.02,0.04,2.44,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
14,0,0.433,0.98,1,-0.141,0.150,0.012,0.115,0.042,1.28,0.00,1.98,1.45,0.00,1.47,0.15,0.00,0.00,0.00,1.02,0.03,2.33,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
15,0,0.467,0.98,1,-0.139,0.150,0.013,0.116,0.042,1.31,0.00,2.00,1.45,0.00,1.47,0.13,0.00,0.00,0.00,1.03,0.03,2.25,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
16,0,0.500,0.98,1,-0.137,0.149,0.013,0.116,0.042,1.31,0.00,2.01,1.47,0.00,1.46,0.10,0.00,0.00,0.03,1.05,0.08,2.20,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
17,0,0.533,0.98,1,-0.141,0.152,0.013,0.116,0.041,1.26,0.00,1.99,1.44,0.00,1.42,0.08,0.00,0.00,0.04,1.07,0.10,2.14,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
18,0,0.567,0.98,1,-0.144,0.152,0.014,0.115,0.041,1.15,0.00,1.96,1.47,0.00,1.40,0.08,0.00,0.00,0.04,1.06,0.12,2.09,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
19,0,0.600,0.98,1,-0.146,0.153,0.015,0.115,0.041,1.14,0.00,1.91,1.49,0.00,1.48,0.07,0.00,0.00,0.01,1.02,0.14,2.12,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
20,0,0.633,0.98,1,-0.151,0.148,0.014,0.115,0.041,1.14,0.00,1.89,1.58,0.00,1.49,0.11,0.00,0.00,0.02,0.99,0.14,2.14,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
21,0,0.667,0.98,1,-0.152,0.149,0.015,0.117,0.040,1.21,0.00,1.93,1.63,0.00,1.41,0.11,0.00,0.00,0.02,1.00,0.16,2.19,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
22,0,0.700,0.98,1,-0.155,0.149,0.015,0.116,0.040,1.22,0.00,1.98,1.75,0.00,1.32,0.13,0.00,0.00,0.06,1.01,0.13,2.16,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
23,0,0.733,0.98,1,-0.160,0.153,0.014,0.117,0.039,1.31,0.00,2.00,1.70,0.00,1.25,0.14,0.00,0.00,0.05,1.03,0.17,2.12,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
24,0,0.767,0.98,1,-0.161,0.152,0.014,0.115,0.040,1.38,0.00,1.96,1.65,0.00,1.25,0.18,0.00,0.00,0.05,1.02,0.19,2.07,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
25,0,0.800,0.98,1,-0.166,0.151,0.016,0.115,0.041,1.34,0.00,1.97,1.58,0.00,1.19,0.18,0.00,0.00,0.00,1.01,0.19,2.10,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
26,0,0.833,0.98,1,-0.167,0.154,0.015,0.115,0.042,1.25,0.00,2.01,1.63,0.00,1.22,0.18,0.00,0.00,0.00,0.99,0.15,2.16,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
27,0,0.866,0.98,1,-0.169,0.152,0.015,0.116,0.042,1.19,0.00,2.03,1.63,0.00,1.19,0.17,0.00,0.00,0.00,1.00,0.16,2.18,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
28,0,0.900,0.98,1,-0.166,0.150,0.015,0.115,0.041,1.25,0.00,1.97,1.54,0.00,1.33,0.21,0.00,0.00,0.00,1.05,0.24,2.21,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
29,0,0.933,0.98,1,-0.162,0.147,0.014,0.115,0.042,1.24,0.00,1.91,1.51,0.00,1.29,0.23,0.00,0.00,0.00,1.11,0.32,2.18,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
30,0,0.966,0.98,1,-0.161,0.151,0.016,0.115,0.043,1.21,0.00,1.94,1.62,0.00,1.38,0.21,0.00,0.00,0.00,1.08,0.31,2.25,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
31,0,1.000,0.98,1,-0.163,0.151,0.014,0.117,0.041,1.14,0.00,1.98,1.73,0.00,1.36,0.19,0.00,0.00,0.00,1.05,0.26,2.25,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
32,0,1.033,0.98,1,-0.163,0.149,0.013,0.117,0.041,1.09,0.00,2.03,1.87,0.00,1.48,0.18,0.00,0.00,0.00,1.02,0.21,2.30,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
33,0,1.066,0.98,1,-0.161,0.150,0.013,0.117,0.040,1.07,0.00,2.02,1.88,0.00,1.40,0.18,0.00,0.00,0.00,1.02,0.20,2.33,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
34,0,1.100,0.98,1,-0.169,0.146,0.013,0.116,0.040,1.03,0.00,1.99,1.92,0.00,1.33,0.14,0.00,0.00,0.00,1.02,0.19,2.38,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
35,0,1.133,0.98,1,-0.167,0.147,0.013,0.117,0.040,1.02,0.00,1.96,1.81,0.00,1.25,0.10,0.00,0.00,0.00,1.02,0.22,2.41,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
36,0,1.166,0.98,1,-0.168,0.143,0.013,0.116,0.040,0.98,0.00,1.96,1.71,0.00,1.23,0.11,0.00,0.00,0.00,1.03,0.26,2.42,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
37,0,1.200,0.98,1,-0.173,0.144,0.015,0.117,0.040,1.04,0.00,1.99,1.65,0.00,1.12,0.11,0.00,0.00,0.00,1.05,0.29,2.39,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
38,0,1.233,0.98,1,-0.171,0.141,0.015,0.117,0.040,1.16,0.00,2.02,1.71,0.00,1.05,0.12,0.00,0.00,0.00,1.03,0.26,2.36,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
39,0,1.266,0.98,1,-0.168,0.145,0.016,0.118,0.039,1.26,0.00,2.03,1.85,0.00,1.04,0.07,0.00,0.00,0.00,1.04,0.25,2.33,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
40,0,1.300,0.98,1,-0.168,0.148,0.016,0.118,0.039,1.33,0.00,2.04,1.93,0.00,1.12,0.05,0.00,0.00,0.00,1.03,0.24,2.33,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
41,0,1.333,0.98,1,-0.167,0.147,0.016,0.118,0.039,1.31,0.00,2.05,1.87,0.00,1.16,0.02,0.00,0.00,0.00,1.02,0.29,2.35,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
42,0,1.366,0.98,1,-0.166,0.145,0.017,0.119,0.039,1.31,0.00,2.09,1.75,0.00,1.12,0.04,0.00,0.00,0.00,0.98,0.23,2.35,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
43,0,1.400,0.98,1,-0.167,0.146,0.016,0.118,0.040,1.27,0.00,2.11,1.62,0.00,1.12,0.05,0.00,0.00,0.00,0.96,0.22,2.34,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
44,0,1.433,0.98,1,-0.167,0.148,0.015,0.118,0.039,1.29,0.00,2.12,1.64,0.00,1.10,0.04,0.00,0.00,0.00,0.94,0.19,2.35,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
45,0,1.466,0.98,1,-0.166,0.148,0.015,0.118,0.039,1.26,0.00,2.07,1.69,0.00,1.13,0.01,0.00,0.00,0.00,0.97,0.30,2.37,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
46,0,1.500,0.98,1,-0.167,0.151,0.015,0.118,0.039,1.29,0.00,2.08,1.67,0.00,1.16,0.00,0.00,0.00,0.00,0.99,0.35,2.37,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
47,0,1.533,0.98,1,-0.166,0.149,0.016,0.118,0.039,1.26,0.00,2.10,1.64,0.00,1.26,0.00,0.00,0.00,0.00,1.02,0.35,2.32,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
48,0,1.566,0.98,1,-0.167,0.149,0.015,0.118,0.039,1.27,0.00,2.16,1.56,0.00,1.26,0.01,0.00,0.00,0.00,1.04,0.27,2.26,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
49,0,1.600,0.98,1,-0.165,0.144,0.016,0.119,0.039,1.19,0.00,2.15,1.59,0.00,1.23,0.03,0.00,0.00,0.00,1.03,0.26,2.27,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
50,0,1.633,0.98,1,-0.168,0.143,0.016,0.119,0.038,1.15,0.00,2.09,1.67,0.00,1.07,0.05,0.00,0.00,0.00,1.03,0.23,2.28,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
51,0,1.666,0.98,1,-0.166,0.148,0.015,0.120,0.039,1.09,0.00,2.06,1.70,0.00,0.97,0.07,0.00,0.00,0.00,1.00,0.24,2.27,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
52,0,1.700,0.98,1,-0.164,0.139,0.016,0.120,0.038,1.08,0.00,2.05,1.71,0.00,0.92,0.06,0.00,0.00,0.00,0.97,0.22,2.23,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
53,0,1.733,0.98,1,-0.164,0.130,0.016,0.119,0.038,1.04,0.00,2.10,1.68,0.00,0.95,0.08,0.01,0.00,0.00,0.97,0.27,2.19,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
54,0,1.766,0.98,1,-0.163,0.130,0.017,0.120,0.038,1.01,0.00,2.10,1.71,0.00,0.98,0.08,0.01,0.00,0.00,0.96,0.25,2.17,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
55,0,1.800,0.98,1,-0.160,0.125,0.016,0.120,0.039,1.05,0.00,2.10,1.75,0.00,1.00,0.15,0.01,0.00,0.00,0.97,0.21,2.12,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
56,0,1.833,0.98,1,-0.162,0.125,0.016,0.120,0.038,1.06,0.00,2.08,1.84,0.00,0.94,0.12,0.00,0.00,0.00,0.94,0.12,2.08,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
57,0,1.866,0.98,1,-0.162,0.124,0.017,0.121,0.039,1.10,0.00,2.09,1.92,0.00,0.90,0.12,0.00,0.00,0.00,0.93,0.16,2.08,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
58,0,1.900,0.98,1,-0.165,0.130,0.017,0.120,0.038,1.09,0.00,2.10,1.93,0.00,0.89,0.09,0.04,0.00,0.00,0.94,0.24,2.11,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
59,0,1.933,0.98,1,-0.164,0.127,0.018,0.121,0.038,1.11,0.00,2.06,1.85,0.00,0.99,0.12,0.04,0.00,0.00,0.96,0.28,2.11,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
60,0,1.966,0.98,1,-0.162,0.134,0.018,0.120,0.038,1.12,0.00,2.04,1.80,0.00,0.99,0.10,0.04,0.00,0.00,0.96,0.33,2.14,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00
61,0,2.000,0.98,1,-0.164,0.142,0.018,0.119,0.039,1.11,0.00,2.06,1.81,0.00,1.01,0.11,0.00,0.00,0.00,0.94,0.34,2.11,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00
62,0,2.033,0.98,1,-0.162,0.146,0.019,0.119,0.038,1.10,0.00,2.08,1.73,0.00,0.91,0.11,0.00,0.00,0.00,0.96,0.41,2.10,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00
63,0,2.066,0.98,1,-0.167,0.146,0.020,0.121,0.038,1.07,0.00,2.10,1.69,0.00,0.97,0.12,0.00,0.00,0.00,0.99,0.46,2.04,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00
64,0,2.100,0.98,1,-0.167,0.135,0.020,0.120,0.038,1.05,0.00,2.07,1.70,0.00,0.96,0.10,0.00,0.00,0.00,1.00,0.48,2.01,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00
65,0,2.133,0.98,1,-0.164,0.135,0.021,0.121,0.037,1.02,0.00,2.13,1.74,0.00,1.08,0.10,0.00,0.00,0.00,0.99,0.49,1.99,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00
66,0,2.166,0.98,1,-0.167,0.139,0.020,0.121,0.037,1.02,0.00,2.15,1.82,0.00,1.08,0.10,0.00,0.00,0.00,0.97,0.40,2.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00
67,0,2.200,0.98,1,-0.164,0.139,0.020,0.121,0.036,0.99,0.00,2.14,1.76,0.00,1.07,0.10,0.01,0.00,0.00,1.00,0.38,2.05,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
68,0,2.233,0.98,1,-0.165,0.137,0.020,0.121,0.036,0.98,0.00,2.07,1.85,0.00,1.04,0.06,0.01,0.00,0.00,1.01,0.37,2.12,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
69,0,2.266,0.98,1,-0.163,0.137,0.021,0.121,0.035,0.99,0.00,1.99,1.86,0.00,1.03,0.04,0.01,0.00,0.00,1.03,0.40,2.17,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
70,0,2.300,0.98,1,-0.160,0.137,0.020,0.121,0.035,0.99,0.00,1.97,1.98,0.00,0.97,0.00,0.00,0.00,0.00,1.00,0.38,2.16,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
71,0,2.333,0.98,1,-0.162,0.137,0.019,0.122,0.036,0.99,0.00,1.94,1.95,0.00,0.88,0.00,0.00,0.00,0.00,1.00,0.36,2.08,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
72,0,2.366,0.98,1,-0.165,0.140,0.020,0.122,0.035,1.04,0.00,1.99,1.87,0.00,0.84,0.03,0.00,0.00,0.00,0.99,0.35,1.99,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
73,0,2.400,0.98,1,-0.163,0.154,0.019,0.121,0.035,1.28,0.00,2.14,1.40,0.00,1.16,0.08,0.00,0.00,0.00,1.01,0.29,2.04,0.00,0.00,0.00,0.66,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
74,0,2.433,0.98,1,-0.106,0.240,0.027,0.123,0.033,1.47,0.04,2.20,0.90,0.00,1.31,0.09,0.00,0.00,0.00,1.06,0.23,2.17,0.00,0.00,0.00,1.89,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00
75,0,2.466,0.98,1,-0.091,0.350,0.022,0.122,0.036,1.61,0.08,2.21,0.53,0.00,1.28,0.07,0.00,0.00,0.00,1.10,0.15,2.31,0.00,0.00,0.00,3.10,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00
76,0,2.499,0.98,1,-0.086,0.352,0.025,0.123,0.034,1.54,0.08,2.27,0.53,0.00,1.31,0.10,0.00,0.00,0.00,1.11,0.18,2.40,0.00,0.00,0.00,3.25,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00
