frame,face_id,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
1,0,0.000,0.98,1,-0.155,0.149,0.012,0.115,0.042,1.33,0.00,1.87,1.37,0.00,1.35,0.19,0.00,0.00,0.00,1.10,0.00,2.55,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
2,0,0.033,0.98,1,-0.155,0.156,0.011,0.113,0.043,1.44,0.00,1.85,1.43,0.00,1.39,0.20,0.00,0.00,0.00,1.12,0.00,2.48,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
3,0,0.067,0.98,1,-0.157,0.154,0.011,0.113,0.043,1.47,0.00,1.82,1.41,0.00,1.41,0.19,0.00,0.00,0.00,1.13,0.00,2.48,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
4,0,0.100,0.98,1,-0.152,0.154,0.011,0.113,0.043,1.46,0.00,1.82,1.39,0.00,1.39,0.18,0.01,0.00,0.00,1.10,0.02,2.52,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
5,0,0.133,0.98,1,-0.153,0.161,0.011,0.113,0.043,1.43,0.00,1.84,1.36,0.00,1.41,0.13,0.01,0.00,0.00,1.11,0.06,2.62,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
6,0,0.167,0.98,1,-0.154,0.148,0.009,0.115,0.043,1.48,0.00,1.90,1.37,0.00,1.46,0.08,0.05,0.00,0.00,1.07,0.07,2.64,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
7,0,0.200,0.98,1,-0.149,0.150,0.010,0.114,0.043,1.47,0.00,1.97,1.44,0.00,1.42,0.07,0.04,0.00,0.00,1.09,0.09,2.64,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
8,0,0.233,0.98,1,-0.152,0.145,0.010,0.115,0.042,1.41,0.00,1.98,1.48,0.00,1.36,0.10,0.07,0.00,0.00,1.05,0.08,2.51,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
9,0,0.267,0.98,1,-0.148,0.147,0.011,0.115,0.043,1.34,0.00,1.97,1.44,0.00,1.31,0.14,0.03,0.00,0.00,1.05,0.08,2.43,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
10,0,0.300,0.98,1,-0.149,0.144,0.011,0.116,0.042,1.30,0.00,1.92,1.41,0.00,1.41,0.16,0.03,0.00,0.00,1.06,0.09,2.38,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
11,0,0.333,0.98,1,-0.150,0.143,0.011,0.115,0.042,1.31,0.00,1.90,1.43,0.00,1.49,0.17,0.00,0.00,0.00,1.06,0.10,2.44,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
