frame,face_id,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
13,0,0.48,0.98,1,0.025,0.193,-7.2,72.6,703.8,-0.022,-0.005,0.026,0,0,0.54,0,0,0.47,0,0.29,0,0,0.39,0.47,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14,0,0.52,0.98,1,0.029,0.182,-7.2,72.7,705.3,-0.031,-0.006,0.029,0,0,0.8,0,0,0.72,0,0.34,0,0,0.52,0.72,0,0,0.07,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15,0,0.56,0.98,1,0.029,0.167,-7,72.6,706.7,-0.03,-0.006,0.03,0,0,0.83,0,0,0.69,0,0.25,0,0,0.45,0.74,0,0,0.05,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16,0,0.6,0.98,1,0.034,0.168,-6.9,72.3,705.8,-0.03,-0.007,0.031,0,0,0.86,0,0,0.6,0,0.18,0,0,0.41,0.77,0,0,0.04,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17,0,0.64,0.98,1,0.026,0.165,-6.9,72.2,705.4,-0.032,-0.007,0.031,0,0,0.87,0,0,0.46,0,0.13,0,0,0.44,0.8,0,0,0.11,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18,0,0.68,0.98,1,0.03,0.161,-6.9,72.2,706.6,-0.033,-0.006,0.031,0,0,0.87,0,0,0.4,0,0.1,0,0,0.46,0.82,0,0,0.15,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19,0,0.72,0.98,1,0.03,0.161,-6.9,72.2,706.5,-0.033,-0.006,0.031,0,0,0.93,0,0,0.44,0,0.09,0,0,0.51,0.82,0,0,0.17,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20,0,0.76,0.98,1,0.053,0.165,-6.7,72.1,707.1,-0.034,-0.008,0.034,0,0,0.99,0,0,0.45,0,0.15,0,0,0.58,0.81,0,0,0.15,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
